"time_s","lin_acc_x","lin_acc_y","lin_acc_z","lin_acc_abs"
1.683949243E1,-1.090730056E-1,-2.111683488E-1,-8.101110458E-1,8.442564176E-1
1.685810248E1,2.547188476E-2,-2.864836454E-1,-3.674840927E-1,4.666543200E-1
1.687666451E1,1.738840193E-1,-4.623534083E-1,-3.175678253E-1,5.872441145E-1
1.689522779E1,1.759771258E-4,-4.086140990E-1,-5.560808182E-1,6.900662209E-1
1.691374545E1,-5.635029823E-2,-2.957915664E-1,-8.232250214E-1,8.765657093E-1
1.693230868E1,7.805209607E-2,-1.601170301E-1,-1.101936340E0,1.116240696E0
1.695091753E1,1.316428483E-1,-1.083878279E-1,-1.321068764E0,1.332028693E0
1.696948076E1,-2.217847258E-1,-1.126102209E-1,-1.256753922E0,1.281132290E0
1.698799842E1,-4.962847233E-1,-2.553652525E-1,-9.814071655E-1,1.129012827E0
1.700656165E1,-6.086791754E-1,-3.102587461E-1,-5.994729996E-1,9.089107246E-1
1.702512628E1,-4.919507802E-1,-2.383072376E-1,-4.768610001E-1,7.253980445E-1
1.704370399E1,-3.279792666E-1,-1.427959204E-1,-7.557907104E-1,8.361702412E-1
1.706226696E1,-2.992252111E-1,-3.414070606E-2,-1.080874443E0,1.122047627E0
1.708081467E1,-3.056838214E-1,1.384496689E-1,-1.188748360E0,1.235205882E0
1.709937790E1,-1.181927472E-1,1.950869560E-1,-1.175426483E0,1.197353692E0
1.711798795E1,-3.927285969E-2,2.341760397E-1,-1.307321548E0,1.328710053E0
1.713654998E1,-1.453496516E-1,2.929886580E-1,-1.620925903E0,1.653592954E0
1.715511326E1,-1.997022629E-1,3.475712538E-1,-2.032289028E0,2.071445260E0
1.717363092E1,-1.531201899E-1,4.199119806E-1,-2.166386127E0,2.212012820E0
1.719219415E1,2.555337176E-2,4.511077404E-1,-1.875067234E0,1.928737489E0
1.721080300E1,1.192240641E-1,5.706362724E-1,-1.422285080E0,1.537119052E0
1.722936628E1,6.889489293E-2,7.266324759E-1,-1.152762413E0,1.364405527E0
1.724788389E1,1.117306054E-1,9.151096344E-1,-1.077022552E0,1.417704818E0
1.726644712E1,3.764435649E-1,1.011592746E0,-1.065134048E0,1.516423484E0
1.728505597E1,5.673344135E-1,1.109523892E0,-1.125006676E0,1.678854260E0
1.730361925E1,5.403912067E-1,1.186882734E0,-9.346437454E-1,1.604453867E0
1.732218243E1,3.397089243E-1,1.173219085E0,-4.270257950E-1,1.293907340E0
1.734070014E1,1.490586400E-1,1.070519209E0,3.352994919E-1,1.131660552E0
1.735926336E1,2.820944786E-1,1.000739574E0,9.601926804E-1,1.415283355E0
1.737784253E1,3.755819201E-1,1.076124907E0,1.242274284E0,1.685927635E0
1.739640566E1,3.080260754E-1,1.115860224E0,1.202922821E0,1.669445242E0
1.741496894E1,2.502505779E-1,1.030901551E0,1.195869446E0,1.598589094E0
1.743351633E1,2.728268504E-1,9.091534615E-1,1.611277580E0,1.870082872E0
1.745207956E1,2.690650821E-1,8.143904209E-1,2.576055527E0,2.715085607E0
1.747068847E1,2.692815065E-1,7.255733013E-1,3.392399788E0,3.479561103E0
1.748925279E1,2.150491029E-1,6.162739992E-1,3.745301247E0,3.801752384E0
1.750776930E1,2.068064064E-1,5.247814655E-1,3.279317856E0,3.327475030E0
1.752633258E1,2.222162485E-1,5.394165516E-1,2.937090874E0,2.994470417E0
1.754494144E1,4.162232876E-1,4.623628855E-1,3.197647095E0,3.257601603E0
1.756350472E1,5.685446858E-1,-3.371644020E-2,3.608285904E0,3.652958667E0
